issue_id,series_ticker,subject,word_normalized,latest14d_events,latest14d_mean_probability,prior28d_events,prior28d_mean_probability,matched_supported,change_pp,interpretation
electricity_datacenters,KXEARNINGSMENTIONF,ford motor company,electric vehicle / ev,0,,1,0.955,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXEARNINGSMENTIONSPCX,space exploration technologies corp.,data center,0,,1,0.925,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXHEARINGMENTION,any participating witness,data center,0,,2,0.6,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXTRUMPMENTION,donald trump,data center,1,0.065,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXVANCEMENTION,jd vance,data center,1,0.095,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONAC,air canada,iran / middle east,0,,1,0.875,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONAMZN,amazon.com inc.,iran / middle east,0,,1,0.09,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONAS,amer sports inc.,iran / middle east,0,,1,0.19,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONAS,amer sports inc.,oil,0,,1,0.325,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONBA,the boeing company,iran,0,,1,0.32499999999999996,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONBA,the boeing company,oil,0,,1,0.125,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONBJ,bjs wholesale club holdings inc.,gasoline,0,,1,0.87,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONCMG,chipotle mexican grill inc.,iran,0,,1,0.165,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONCVNA,carvana co.,iran / middle east,0,,1,0.235,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONDE,deere company,oil / gas / gasoline,0,,1,0.655,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONF,ford motor company,iran / middle east,0,,1,0.46499999999999997,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONGRAB,grab holdings limited,iran / middle east,0,,1,0.42,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONLULU,lululemon,iran / middle east,1,0.415,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONLYFT,lyft inc.,iran / middle east,0,,1,0.10500000000000001,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONLYFT,lyft inc.,oil / gas / gasoline,0,,1,0.395,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONMCD,mcdonalds corporation,iran / middle east,0,,1,0.605,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONMELI,mercadolibre inc.,oil / gas / gasoline,0,,1,0.255,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONPGR,the progressive corporation,iran / middle east,0,,1,0.165,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONPLTR,palantir technologies inc.,iran / iranian,0,,1,0.265,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONUBER,uber technologies inc.,iran / middle east,0,,1,0.225,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONUBER,uber technologies inc.,oil / gas / gasoline,0,,1,0.295,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONULTA,ulta beauty inc.,iran / middle east,1,0.775,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONWING,wingstop inc.,iran / middle east,0,,1,0.14500000000000002,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONWMT,walmart inc.,gas / gasoline / fuel,0,,1,0.925,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXEARNINGSMENTIONYETI,yeti holdings inc.,iran / middle east,0,,1,0.16999999999999998,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFEDMENTION,kevin warsh,gas / gasoline / natural gas,0,,1,0.295,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFEDMENTION,kevin warsh,iran,0,,1,0.195,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFEDMENTION,kevin warsh,oil,0,,1,0.755,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFOXNEWSMENTION,joe manchin,iran / iranian,0,,1,0.375,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFOXNEWSMENTION,joe manchin,oil / gas / gasoline,0,,1,0.315,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFOXNEWSMENTION,marco rubio,iran / iranian,0,,1,0.975,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFOXNEWSMENTION,marco rubio,oil / gas / gasoline,0,,1,0.66,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFOXNEWSMENTION,markwayne mullin,iran / iranian,0,,1,0.005,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXFOXNEWSMENTION,markwayne mullin,oil / gas / gasoline,0,,1,0.005,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXGOVERNORMENTION,abigail spanberger,oil / gas / gasoline,1,0.11499999999999999,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXMADDOWMENTION,rachel maddow,iran 3 + times,0,,1,0.64,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXMADDOWMENTION,rachel maddow,oil / gas / gasoline,0,,1,0.655,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTION,donald trump,hormuz,0,,3,0.3666666666666667,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTION,donald trump,iran,1,0.335,1,0.745,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTION,donald trump,iran / iranian,0,,1,0.765,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTION,donald trump,iran 3+ times,2,0.78,5,0.7,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTION,donald trump,oil / gas / gasoline,3,0.675,7,0.6842857142857143,True,-0.928571428571423,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTIONB,donald trump,hormuz,1,0.355,1,0.44,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTIONB,donald trump,iran 3+ times,1,0.7050000000000001,1,0.69,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPMENTIONB,donald trump,oil / gas / gasoline,1,0.475,1,0.6599999999999999,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPSAY,trump,make iran great again,1,0.015,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXTRUMPSAYMONTH,trump,make iran great again,0,,1,0.10500000000000001,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXVANCEMENTION,jd vance,iran / iranian,1,0.37,1,0.29500000000000004,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
energy_iran,KXVANCEMENTION,jd vance,oil / gas / gasoline,1,0.315,2,0.39749999999999996,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
healthcare,KXDEBATEMENTION,any participating candidate,healthcare,0,,1,0.645,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
healthcare,KXEARNINGSMENTIONCRWV,coreweave inc.,healthcare,0,,1,0.67,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
healthcare,KXEARNINGSMENTIONPLTR,palantir technologies inc.,healthcare,0,,1,0.495,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
healthcare,KXEARNINGSMENTIONYOU,clear secure inc.,medicare / medicaid,0,,1,0.755,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
healthcare,KXGOVERNORMENTION,abigail spanberger,healthcare,1,0.22999999999999998,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
