issue_id,channel,week_start_utc,observed_days,newly_listed_events,volume_observed_contracts,last_observed_day,oi_at_last_observed_day,interpretation
fed_rates,policy,2026-07-13,7,0,22329.71,2026-07-19,281228.05,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-07-20,7,1,62948.25,2026-07-26,244958.31,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-07-27,7,0,11438.59,2026-08-02,246563.57,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-08-03,7,0,20931.06,2026-08-09,247574.8,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-08-10,7,0,16931.239999999998,2026-08-16,258271.15,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-08-17,7,1,7264.57,2026-08-23,237877.25,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-08-24,7,0,12136.51,2026-08-30,249350.21,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-08-31,7,0,21591.03,2026-09-06,250602.72,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-09-07,1,0,349.02,2026-09-07,179569.72,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-07-06,4,1,17678.53,2026-07-12,3202.17,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-07-13,7,5,19571.74,2026-07-19,0.0,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-07-20,7,7,17917.71,2026-07-26,1661.8700000000001,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-07-27,7,2,63252.409999999996,2026-08-02,2228.94,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
healthcare,mention,2026-08-03,6,4,29786.14,2026-08-08,15720.880000000001,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
