issue_id,channel,series_ticker,recent_days,day,period,fixed_panel_contracts,volume,observed_contracts,events,traded_contracts,median_spread,usable_hours,hours,volume_per_observed_contract,issue_label
electoral_context,election,SENATEMI,14,2026-08-05,prior,2,205220.42,2.0,1.0,2.0,0.01,48.0,48.0,102610.21,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-06,prior,2,112033.29000000001,2.0,1.0,2.0,0.01,45.0,45.0,56016.645000000004,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-07,prior,2,81897.08,2.0,1.0,2.0,0.01,48.0,48.0,40948.54,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-08,prior,2,132757.25,2.0,1.0,2.0,0.009999999999999901,47.0,47.0,66378.625,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-09,prior,2,97288.05,2.0,1.0,2.0,0.01,47.0,47.0,48644.025,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-10,prior,2,64989.350000000006,2.0,1.0,2.0,0.01,48.0,48.0,32494.675000000003,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-11,prior,2,149002.63999999998,2.0,1.0,2.0,0.01,48.0,48.0,74501.31999999999,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-12,prior,2,197691.3,2.0,1.0,2.0,0.01,48.0,48.0,98845.65,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-13,prior,2,103809.81,2.0,1.0,2.0,0.01,43.0,43.0,51904.905,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-14,prior,2,127927.04,2.0,1.0,2.0,0.01,47.0,47.0,63963.52,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-15,prior,2,41672.47,2.0,1.0,2.0,0.01,47.0,47.0,20836.235,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-16,prior,2,65294.979999999996,2.0,1.0,2.0,0.009999999999999901,47.0,47.0,32647.489999999998,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-17,prior,2,69101.81,2.0,1.0,2.0,0.01,48.0,48.0,34550.905,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-18,prior,2,73249.20000000001,2.0,1.0,2.0,0.009999999999999901,48.0,48.0,36624.600000000006,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-19,prior,2,109606.61,2.0,1.0,2.0,0.00999999999999995,48.0,48.0,54803.305,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-20,prior,2,149031.73,2.0,1.0,2.0,0.01,46.0,46.0,74515.865,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-21,prior,2,46724.82,2.0,1.0,2.0,0.01,48.0,48.0,23362.41,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-22,prior,2,39434.96,2.0,1.0,2.0,0.015,47.0,47.0,19717.48,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-23,prior,2,23842.07,2.0,1.0,2.0,0.014999999999999951,48.0,48.0,11921.035,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-24,prior,2,38423.28,2.0,1.0,2.0,0.014999999999999951,48.0,48.0,19211.64,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-25,recent,2,67742.64,2.0,1.0,2.0,0.01,48.0,48.0,33871.32,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-26,recent,2,52711.6,2.0,1.0,2.0,0.015,48.0,48.0,26355.8,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-27,recent,2,82761.39,2.0,1.0,2.0,0.01,47.0,47.0,41380.695,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-28,recent,2,133773.58000000002,2.0,1.0,2.0,0.01,48.0,48.0,66886.79000000001,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-29,recent,2,64421.61,2.0,1.0,2.0,0.01,48.0,48.0,32210.805,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-30,recent,2,49098.61,2.0,1.0,2.0,0.01,47.0,47.0,24549.305,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-31,recent,2,70796.54000000001,2.0,1.0,2.0,0.01,45.0,45.0,35398.270000000004,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-09-01,recent,2,86294.42,2.0,1.0,2.0,0.01,47.0,47.0,43147.21,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-09-02,recent,2,32852.270000000004,2.0,1.0,2.0,0.01,48.0,48.0,16426.135000000002,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-09-03,recent,2,46232.68,2.0,1.0,2.0,0.015,46.0,46.0,23116.34,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-09-04,recent,2,16322.189999999999,2.0,1.0,2.0,0.01,48.0,48.0,8161.094999999999,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-09-05,recent,2,31042.53,2.0,1.0,2.0,0.01,48.0,48.0,15521.265,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-09-06,recent,2,21493.34,2.0,1.0,2.0,0.01,48.0,48.0,10746.67,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-09-07,recent,2,7564.93,2.0,1.0,2.0,0.01,47.0,47.0,3782.465,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-07-28,prior,2,107.75,2.0,1.0,1.0,0.015499999999999951,43.0,43.0,53.875,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-07-29,prior,2,10.0,2.0,1.0,1.0,0.011,48.0,48.0,5.0,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-07-30,prior,2,2677.5,2.0,1.0,2.0,0.01999999999999995,45.0,45.0,1338.75,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-07-31,prior,2,585.5,2.0,1.0,1.0,0.02149999999999995,48.0,48.0,292.75,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-01,prior,2,2.02,2.0,1.0,1.0,0.018000000000000002,48.0,48.0,1.01,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-02,prior,2,0.0,2.0,1.0,0.0,0.02,48.0,48.0,0.0,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-03,prior,2,26.64,2.0,1.0,2.0,0.0155,48.0,48.0,13.32,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-04,prior,2,129.84,2.0,1.0,1.0,0.0135,45.0,45.0,64.92,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-05,prior,2,786.14,2.0,1.0,2.0,0.017499999999999953,31.0,31.0,393.07,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-06,prior,2,16.25,2.0,1.0,1.0,0.00899999999999995,17.0,17.0,8.125,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-07,prior,2,105.25,2.0,1.0,2.0,0.00799999999999995,13.0,13.0,52.625,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-08,prior,2,251.78,2.0,1.0,2.0,0.012999999999999949,21.0,21.0,125.89,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-09,prior,2,96.51,2.0,1.0,2.0,0.007499999999999949,42.0,42.0,48.255,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-10,prior,2,2291.78,2.0,1.0,2.0,0.0089999999999999,41.0,41.0,1145.89,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-11,prior,2,4269.67,2.0,1.0,2.0,0.01049999999999985,36.0,36.0,2134.835,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-12,prior,2,35164.58,2.0,1.0,2.0,0.005,39.0,39.0,17582.29,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-13,prior,2,42865.8,2.0,1.0,2.0,0.01,46.0,46.0,21432.9,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-14,prior,2,39536.990000000005,2.0,1.0,2.0,0.01999999999999995,45.0,45.0,19768.495000000003,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-15,prior,2,19800.49,2.0,1.0,2.0,0.014999999999999951,40.0,40.0,9900.245,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-16,prior,2,6463.9,2.0,1.0,2.0,0.00999999999999995,46.0,46.0,3231.95,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-17,prior,2,5204.89,2.0,1.0,2.0,0.00999999999999995,31.0,31.0,2602.445,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-18,prior,2,19847.33,2.0,1.0,2.0,0.00999999999999995,37.0,37.0,9923.665,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-19,prior,2,22402.879999999997,2.0,1.0,2.0,0.014999999999999951,41.0,41.0,11201.439999999999,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-20,prior,2,8596.16,2.0,1.0,2.0,0.011499999999999951,32.0,32.0,4298.08,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-21,prior,2,9533.550000000001,2.0,1.0,2.0,0.007,29.0,29.0,4766.775000000001,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-22,prior,2,5431.16,2.0,1.0,2.0,0.0115,23.0,23.0,2715.58,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-23,prior,2,3376.15,2.0,1.0,2.0,0.009999999999999998,27.0,27.0,1688.075,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-24,prior,2,3021.33,2.0,1.0,2.0,0.007,41.0,41.0,1510.665,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-25,recent,2,1364.6499999999999,2.0,1.0,2.0,0.0085,41.0,41.0,682.3249999999999,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-26,recent,2,1832.94,2.0,1.0,2.0,0.006500000000000001,35.0,35.0,916.47,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-27,recent,2,2098.72,2.0,1.0,2.0,0.003,37.0,37.0,1049.36,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-28,recent,2,6984.23,2.0,1.0,2.0,0.004,32.0,32.0,3492.115,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-29,recent,2,1282.77,2.0,1.0,2.0,0.003,20.0,20.0,641.385,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-30,recent,2,16349.29,2.0,1.0,2.0,0.0015,24.0,24.0,8174.645,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-08-31,recent,2,22397.15,2.0,1.0,2.0,0.004999999999999999,38.0,38.0,11198.575,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-09-01,recent,2,14170.27,2.0,1.0,2.0,0.006,33.0,33.0,7085.135,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-09-02,recent,2,33925.020000000004,2.0,1.0,2.0,0.004999999999999999,44.0,44.0,16962.510000000002,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-09-03,recent,2,7852.629999999999,2.0,1.0,2.0,0.0045000000000000005,40.0,40.0,3926.3149999999996,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-09-04,recent,2,20248.37,2.0,1.0,2.0,0.00599999999999995,43.0,43.0,10124.185,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-09-05,recent,2,11788.74,2.0,1.0,2.0,0.01099999999999995,41.0,41.0,5894.37,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-09-06,recent,2,390.45,2.0,1.0,2.0,0.00549999999999995,42.0,42.0,195.225,Election outcomes and control
electoral_context,election,SENATEMN,14,2026-09-07,recent,2,1204.1000000000001,2.0,1.0,2.0,0.008999999999999949,43.0,43.0,602.0500000000001,Election outcomes and control
electoral_context,election,SENATEMS,14,2026-07-28,prior,2,1246.92,2.0,1.0,2.0,0.00999999999999995,31.0,31.0,623.46,Election outcomes and control
electoral_context,election,SENATEMS,14,2026-07-29,prior,2,62.98,2.0,1.0,1.0,0.0119999999999999,42.0,42.0,31.49,Election outcomes and control
electoral_context,election,SENATEMS,14,2026-07-30,prior,2,432.95,2.0,1.0,2.0,0.0119999999999999,45.0,45.0,216.475,Election outcomes and control
electoral_context,election,SENATEMS,14,2026-07-31,prior,2,1982.71,2.0,1.0,1.0,0.0134999999999999,48.0,48.0,991.355,Election outcomes and control
electoral_context,election,SENATEMS,14,2026-08-01,prior,2,331.9,2.0,1.0,2.0,0.01099999999999985,48.0,48.0,165.95,Election outcomes and control
electoral_context,election,SENATEMS,14,2026-08-02,prior,2,192.8,2.0,1.0,2.0,0.00899999999999985,48.0,48.0,96.4,Election outcomes and control
