issue_id,channel,series_ticker,event_ticker,event_creation_day,observed_contract_days,coverage_fraction,volume_per_observed_contract_day,total_volume,issue_label
trade_tariffs,mention,KXEARNINGSMENTIONSTZ,KXEARNINGSMENTIONSTZ-26OCT05,2026-07-27T00:00:00Z,2,1.0,0.0,0.0,Trade and tariffs
affordability_inflation,mention,KXEARNINGSMENTIONTGT,KXEARNINGSMENTIONTGT-26AUG19,2026-07-27T00:00:00Z,2,1.0,216.15,432.3,Affordability and inflation
ai_jobs_regulation,mention,KXEARNINGSMENTIONTGT,KXEARNINGSMENTIONTGT-26AUG19,2026-07-27T00:00:00Z,2,1.0,203.5,407.0,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONTGT,KXEARNINGSMENTIONTGT-26AUG19,2026-07-27T00:00:00Z,2,1.0,206.325,412.65,Trade and tariffs
affordability_inflation,mention,KXEARNINGSMENTIONTLN,KXEARNINGSMENTIONTLN-26AUG05,2026-07-21T00:00:00Z,2,1.0,327.72,655.44,Affordability and inflation
ai_jobs_regulation,mention,KXEARNINGSMENTIONTLN,KXEARNINGSMENTIONTLN-26AUG05,2026-07-21T00:00:00Z,2,1.0,1874.2,3748.4,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONTLN,KXEARNINGSMENTIONTLN-26AUG05,2026-07-21T00:00:00Z,2,1.0,447.05499999999995,894.1099999999999,Trade and tariffs
housing,mention,KXEARNINGSMENTIONTOL,KXEARNINGSMENTIONTOL-26AUG18,2026-07-24T00:00:00Z,2,1.0,65.08,130.16,Housing
trade_tariffs,mention,KXEARNINGSMENTIONTOL,KXEARNINGSMENTIONTOL-26AUG18,2026-07-24T00:00:00Z,2,1.0,219.5,439.0,Trade and tariffs
trade_tariffs,mention,KXEARNINGSMENTIONTOST,KXEARNINGSMENTIONTOST-26AUG04,2026-07-24T00:00:00Z,2,1.0,761.02,1522.04,Trade and tariffs
affordability_inflation,mention,KXEARNINGSMENTIONTSLA,KXEARNINGSMENTIONTSLA-26JUL22,2026-07-08T00:00:00Z,2,1.0,207.75,415.5,Affordability and inflation
energy_iran,mention,KXEARNINGSMENTIONTSLA,KXEARNINGSMENTIONTSLA-26JUL22,2026-07-08T00:00:00Z,2,1.0,159.995,319.99,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONTSLA,KXEARNINGSMENTIONTSLA-26JUL22,2026-07-08T00:00:00Z,2,1.0,2409.6,4819.2,Trade and tariffs
energy_iran,mention,KXEARNINGSMENTIONUAL,KXEARNINGSMENTIONUAL-26OCT14,2026-07-24T00:00:00Z,2,1.0,9.395,18.79,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONUAL,KXEARNINGSMENTIONUAL-26OCT14,2026-07-24T00:00:00Z,2,1.0,1.0,2.0,Trade and tariffs
energy_iran,mention,KXEARNINGSMENTIONUBER,KXEARNINGSMENTIONUBER-26AUG05,2026-07-30T00:00:00Z,4,1.0,115.6875,462.75,Energy and Iran
ai_jobs_regulation,mention,KXEARNINGSMENTIONULTA,KXEARNINGSMENTIONULTA-26AUG27,2026-07-24T00:00:00Z,2,1.0,8.335,16.67,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONULTA,KXEARNINGSMENTIONULTA-26AUG27,2026-07-24T00:00:00Z,2,1.0,6.02,12.04,Energy and Iran
trade_tariffs,mention,KXEARNINGSMENTIONULTA,KXEARNINGSMENTIONULTA-26AUG27,2026-07-24T00:00:00Z,2,1.0,5.5,11.0,Trade and tariffs
trade_tariffs,mention,KXEARNINGSMENTIONURBN,KXEARNINGSMENTIONURBN-26AUG26,2026-07-23T00:00:00Z,2,1.0,10.0,20.0,Trade and tariffs
taxes_fiscal,mention,KXEARNINGSMENTIONVST,KXEARNINGSMENTIONVST-26AUG07,2026-08-04T00:00:00Z,2,1.0,115.5,231.0,Taxes and fiscal policy
